work_year,job_title,job_category,salary_in_usd,work_setting
2023,Data Engineer,Data Engineering,139700,In-person
2023,Data Analyst,Data Analysis,95000,Remote
2023,Data Analyst,Data Analysis,80000,Remote
2023,Data Scientist,Data Science and Research,130500,In-person
2023,Data Scientist,Data Science and Research,111000,In-person
2023,Data Analyst,Data Analysis,213210,Remote
2023,Data Analyst,Data Analysis,102434,Remote
2023,Machine Learning Engineer,Machine Learning and AI,200000,In-person
2023,Machine Learning Engineer,Machine Learning and AI,140000,In-person
2023,Data Scientist,Data Science and Research,226600,In-person
2023,Data Scientist,Data Science and Research,140100,In-person
2023,Data Scientist,Data Science and Research,225000,Remote
2023,Data Scientist,Data Science and Research,156400,Remote
2023,Research Engineer,Data Science and Research,250000,In-person
2023,Research Engineer,Data Science and Research,176000,In-person
2022,Machine Learning Scientist,Machine Learning and AI,80000,Hybrid
2023,Analytics Engineer,Leadership and Management,233400,Remote
2023,Analytics Engineer,Leadership and Management,145300,Remote
2023,Data Engineer,Data Engineering,248000,In-person
2023,Data Engineer,Data Engineering,149000,In-person
2023,Analytics Engineer,Leadership and Management,156450,Remote
2023,Analytics Engineer,Leadership and Management,119200,Remote
2023,Data Manager,Leadership and Management,115500,In-person
2023,Data Manager,Leadership and Management,73500,In-person
2023,Machine Learning Engineer,Machine Learning and AI,185000,In-person
2023,Machine Learning Engineer,Machine Learning and AI,120250,In-person
2023,Applied Scientist,Data Science and Research,216000,Remote
2023,Applied Scientist,Data Science and Research,184000,Remote
2023,Machine Learning Engineer,Machine Learning and AI,300000,In-person
2023,Machine Learning Engineer,Machine Learning and AI,200000,In-person
2023,Applied Scientist,Data Science and Research,230000,Remote
2023,Applied Scientist,Data Science and Research,196000,Remote
2023,Machine Learning Engineer,Machine Learning and AI,192000,Remote
2023,Machine Learning Engineer,Machine Learning and AI,164000,Remote
2023,Data Science Lead,Data Science and Research,225000,In-person
2023,Data Science Lead,Data Science and Research,152700,In-person
2023,Applied Scientist,Data Science and Research,192000,Remote
2023,Applied Scientist,Data Science and Research,164000,Remote
2023,Data Manager,Leadership and Management,115500,In-person
2023,Data Manager,Leadership and Management,73500,In-person
2023,AI Scientist,Machine Learning and AI,64781,Hybrid
2023,Data Engineer,Data Engineering,160000,In-person
2023,Data Engineer,Data Engineering,140000,In-person
2023,Data Engineer,Data Engineering,139152,In-person
2023,Data Engineer,Data Engineering,82452,In-person
2023,Decision Scientist,Data Science and Research,204500,In-person
2023,Decision Scientist,Data Science and Research,142200,In-person
2023,Data Strategist,Data Architecture and Modeling,85000,In-person
2023,Data Strategist,Data Architecture and Modeling,65000,In-person
2023,Data Analyst,Data Analysis,139000,In-person
2023,Data Analyst,Data Analysis,85700,In-person
2023,Research Scientist,Data Science and Research,248100,In-person
2023,Research Scientist,Data Science and Research,145900,In-person
2023,Machine Learning Engineer,Machine Learning and AI,200000,Remote
2023,Machine Learning Engineer,Machine Learning and AI,145000,Remote
2023,Machine Learning Engineer,Machine Learning and AI,230000,In-person
2023,Machine Learning Engineer,Machine Learning and AI,184000,In-person
2023,Machine Learning Engineer,Machine Learning and AI,269500,In-person
2023,Machine Learning Engineer,Machine Learning and AI,166600,In-person
2023,Machine Learning Engineer,Machine Learning and AI,295500,Remote
2023,Machine Learning Engineer,Machine Learning and AI,165200,Remote
2023,Machine Learning Engineer,Machine Learning and AI,226600,In-person
2023,Machine Learning Engineer,Machine Learning and AI,140100,In-person
2023,ML Engineer,Machine Learning and AI,235000,In-person
2023,ML Engineer,Machine Learning and AI,135000,In-person
2023,Data Analyst,Data Analysis,110000,In-person
2023,Data Analyst,Data Analysis,75000,In-person
2023,Analytics Engineer,Leadership and Management,180000,Remote
2023,Analytics Engineer,Leadership and Management,144000,Remote
2023,Data Engineer,Data Engineering,49216,Remote
2023,Data Engineer,Data Engineering,43064,Remote
2023,Data Analyst,Data Analysis,65000,In-person
2023,Data Analyst,Data Analysis,55000,In-person
2023,Data Manager,Leadership and Management,160667,In-person
2023,Data Manager,Leadership and Management,130000,In-person
2023,MLOps Engineer,Machine Learning and AI,27568,Remote
2023,Data Analyst,Data Analysis,169000,In-person
2023,Data Analyst,Data Analysis,110600,In-person
2023,Data Engineer,Data Engineering,225500,In-person
2023,Data Engineer,Data Engineering,139400,In-person
2023,Data Engineer,Data Engineering,304200,In-person
2023,Data Engineer,Data Engineering,173800,In-person
2023,Data Science Lead,Data Science and Research,191765,In-person
2023,Data Science Lead,Data Science and Research,134326,In-person
2023,Analytics Engineer,Leadership and Management,173000,In-person
2023,Analytics Engineer,Leadership and Management,160000,In-person
2023,Machine Learning Engineer,Machine Learning and AI,258384,Remote
2023,Machine Learning Engineer,Machine Learning and AI,153100,Remote
2023,Data Scientist,Data Science and Research,135000,In-person
2023,Data Scientist,Data Science and Research,70000,In-person
2023,Data Scientist,Data Science and Research,168000,Remote
2023,Data Scientist,Data Science and Research,130000,Remote
2023,Data Analyst,Data Analysis,146200,In-person
2023,Data Analyst,Data Analysis,116960,In-person
2023,Data Engineer,Data Engineering,226700,In-person
2023,Data Engineer,Data Engineering,133300,In-person
2023,Data Engineer,Data Engineering,370000,In-person
2023,Data Engineer,Data Engineering,245000,In-person
2023,Machine Learning Engineer,Machine Learning and AI,208450,In-person
2023,Machine Learning Engineer,Machine Learning and AI,151600,In-person
2023,Data Specialist,Data Management and Strategy,111600,In-person
2023,Data Specialist,Data Management and Strategy,72000,In-person
2023,Data Scientist,Data Science and Research,359170,In-person
2023,Data Scientist,Data Science and Research,295490,In-person
2023,Data Engineer,Data Engineering,90000,Hybrid
2023,Analytics Engineer,Leadership and Management,90000,Remote
2023,Analytics Engineer,Leadership and Management,84000,Remote
2023,Data Engineer,Data Engineering,110000,Remote
2023,Data Engineer,Data Engineering,90000,Remote
2023,Data Engineer,Data Engineering,110000,In-person
2023,Data Engineer,Data Engineering,70000,In-person
2023,Data Scientist,Data Science and Research,48585,In-person
2023,Data Scientist,Data Science and Research,38868,In-person
2023,Data Engineer,Data Engineering,90000,In-person
2023,Data Engineer,Data Engineering,75000,In-person
2023,Data Scientist,Data Science and Research,253000,Remote
2023,Data Scientist,Data Science and Research,162000,Remote
2023,Data Integration Specialist,Data Management and Strategy,115000,In-person
2023,Data Integration Specialist,Data Management and Strategy,85000,In-person
2023,Data Scientist,Data Science and Research,164000,In-person
2023,Data Scientist,Data Science and Research,130000,In-person
2023,Data Scientist,Data Science and Research,359170,In-person
2023,Data Scientist,Data Science and Research,295490,In-person
2023,Data Science Consultant,Data Science and Research,145900,In-person
2023,Data Science Consultant,Data Science and Research,128100,In-person
2023,Business Intelligence Analyst,BI and Visualization,127000,Remote
2023,Business Intelligence Analyst,BI and Visualization,95000,Remote
2023,Data Analyst,Data Analysis,94600,In-person
2023,Data Analyst,Data Analysis,86000,In-person
2023,Data Engineer,Data Engineering,72000,Remote
2023,Data Engineer,Data Engineering,60000,Remote
2023,Data Scientist,Data Science and Research,136000,In-person
2023,Data Scientist,Data Science and Research,104000,In-person
2023,Machine Learning Engineer,Machine Learning and AI,323300,In-person
2023,Machine Learning Engineer,Machine Learning and AI,184700,In-person
2023,Data Engineer,Data Engineering,150000,Remote
2023,Data Engineer,Data Engineering,101570,Remote
2023,Machine Learning Engineer,Machine Learning and AI,247500,In-person
2023,Machine Learning Engineer,Machine Learning and AI,172200,In-person
2023,Data Science Practitioner,Data Science and Research,198800,In-person
2023,Data Science Practitioner,Data Science and Research,122600,In-person
2023,Data Engineer,Data Engineering,173650,In-person
2023,Data Engineer,Data Engineering,113900,In-person
2023,Data Scientist,Data Science and Research,185000,Remote
2023,Data Scientist,Data Science and Research,126000,Remote
2023,Data Management Specialist,Data Management and Strategy,139500,In-person
2023,Data Management Specialist,Data Management and Strategy,110000,In-person
2023,Data Scientist,Data Science and Research,160000,In-person
2023,Data Scientist,Data Science and Research,130000,In-person
2023,Machine Learning Engineer,Machine Learning and AI,280000,In-person
2023,Machine Learning Engineer,Machine Learning and AI,200000,In-person
2023,Data Scientist,Data Science and Research,123040,In-person
2023,Data Scientist,Data Science and Research,73824,In-person
2023,Data Scientist,Data Science and Research,248100,In-person
2023,Data Scientist,Data Science and Research,145900,In-person
2023,Business Intelligence Engineer,BI and Visualization,220000,In-person
2023,Business Intelligence Engineer,BI and Visualization,175000,In-person
2023,Data Scientist,Data Science and Research,175000,In-person
2023,Data Scientist,Data Science and Research,150000,In-person
2023,Data Manager,Leadership and Management,145000,In-person
2023,Data Manager,Leadership and Management,130000,In-person
2023,Data Manager,Leadership and Management,115500,In-person
2023,Data Manager,Leadership and Management,73500,In-person
2023,Data Analyst,Data Analysis,150000,In-person
2023,Data Analyst,Data Analysis,135000,In-person
2023,Data Analyst,Data Analysis,150000,Remote
2023,Data Analyst,Data Analysis,85000,Remote
2023,Data Engineer,Data Engineering,210000,Remote
2023,Data Engineer,Data Engineering,170000,Remote
2023,Data Engineer,Data Engineering,160000,Remote
2023,Data Engineer,Data Engineering,108000,Remote
2023,Head of Data,Leadership and Management,115000,Remote
2023,Head of Data,Leadership and Management,110000,Remote
2023,Machine Learning Engineer,Machine Learning and AI,220000,In-person
2023,Machine Learning Engineer,Machine Learning and AI,185000,In-person
2023,Decision Scientist,Data Science and Research,182500,Remote
2023,Decision Scientist,Data Science and Research,135000,Remote
2023,Data Scientist,Data Science and Research,208500,In-person
2023,Data Scientist,Data Science and Research,165000,In-person
2023,Business Data Analyst,Data Analysis,35000,Remote
2023,Data Engineer,Data Engineering,146000,In-person
2023,Data Engineer,Data Engineering,94000,In-person
2023,Business Intelligence Engineer,BI and Visualization,225000,In-person
2023,Business Intelligence Engineer,BI and Visualization,156400,In-person
2023,AI Engineer,Machine Learning and AI,300000,Remote
2023,Data Strategist,Data Architecture and Modeling,91000,In-person
2023,Data Strategist,Data Architecture and Modeling,86000,In-person
2023,Data Scientist,Data Science and Research,205500,In-person
2023,Data Scientist,Data Science and Research,132500,In-person
2023,Data Manager,Leadership and Management,115500,In-person
2023,Data Manager,Leadership and Management,73500,In-person
2023,Business Data Analyst,Data Analysis,180000,Remote
2023,Decision Scientist,Data Science and Research,204500,In-person
2023,Decision Scientist,Data Science and Research,142200,In-person
2023,Analytics Engineer,Leadership and Management,97750,In-person
2023,Analytics Engineer,Leadership and Management,75000,In-person
2023,Research Scientist,Data Science and Research,252990,Remote
2023,Research Scientist,Data Science and Research,162170,Remote
2023,Applied Scientist,Data Science and Research,216000,In-person
2023,Applied Scientist,Data Science and Research,184000,In-person
2023,Data Engineer,Data Engineering,170000,Remote
2023,Data Engineer,Data Engineering,120000,Remote
2023,Data Engineer,Data Engineering,133200,Remote
2023,Data Engineer,Data Engineering,84000,Remote
2023,Data Analyst,Data Analysis,75000,In-person
2023,Data Analyst,Data Analysis,67500,In-person
2023,Data Engineer,Data Engineering,86128,Remote
2023,Data Engineer,Data Engineering,61520,Remote
2023,Data Scientist,Data Science and Research,300000,In-person
2023,Data Scientist,Data Science and Research,160000,In-person
2023,Data Analyst,Data Analysis,142000,In-person
2023,Data Analyst,Data Analysis,128000,In-person
2023,Data Scientist,Data Science and Research,160000,Remote
2023,Data Scientist,Data Science and Research,140000,Remote
2023,Data Scientist,Data Science and Research,265000,Remote
2023,Data Scientist,Data Science and Research,153000,Remote
2023,Data Analyst,Data Analysis,143000,Remote
2023,Data Analyst,Data Analysis,126277,Remote
2023,Data Scientist,Data Science and Research,230000,Remote
2023,Data Scientist,Data Science and Research,153000,Remote
2023,Data Engineer,Data Engineering,224500,In-person
2023,Data Engineer,Data Engineering,126900,In-person
2023,Data Manager,Leadership and Management,115500,In-person
2023,Data Manager,Leadership and Management,73500,In-person
2023,Data Scientist,Data Science and Research,145000,Remote
2023,Data Scientist,Data Science and Research,115000,Remote
2023,Applied Scientist,Data Science and Research,227700,Remote
2023,Applied Scientist,Data Science and Research,154836,Remote
2023,Data Analyst,Data Analysis,140000,In-person
2023,Data Analyst,Data Analysis,126000,In-person
2023,Machine Learning Engineer,Machine Learning and AI,165000,In-person
2023,Machine Learning Engineer,Machine Learning and AI,127000,In-person
2023,Analytics Engineer,Leadership and Management,209000,In-person
2023,Analytics Engineer,Leadership and Management,112500,In-person
2023,Data Architect,Data Architecture and Modeling,140000,Remote
2023,Data Architect,Data Architecture and Modeling,110000,Remote
2023,Data Engineer,Data Engineering,185900,In-person
2023,Data Engineer,Data Engineering,129300,In-person
2023,Data Scientist,Data Science and Research,370000,In-person
2023,Data Scientist,Data Science and Research,300000,In-person
2023,Data Analyst,Data Analysis,136000,Remote
2023,Data Analyst,Data Analysis,104000,Remote
2023,Applied Scientist,Data Science and Research,214000,In-person
2023,Applied Scientist,Data Science and Research,154000,In-person
2023,Data Scientist,Data Science and Research,205000,Remote
2023,Data Scientist,Data Science and Research,157500,Remote
2023,Data Engineer,Data Engineering,255000,In-person
2023,Data Engineer,Data Engineering,178000,In-person
2023,Data Engineer,Data Engineering,155000,In-person
2023,Data Engineer,Data Engineering,109283,In-person
2023,Research Scientist,Data Science and Research,189000,In-person
2023,Research Scientist,Data Science and Research,137000,In-person
2023,Data Analyst,Data Analysis,120000,Remote
2023,Data Analyst,Data Analysis,110000,Remote
2023,Machine Learning Engineer,Machine Learning and AI,204500,In-person
2023,Machine Learning Engineer,Machine Learning and AI,142200,In-person
2023,Data Analyst,Data Analysis,100000,In-person
2023,Data Analyst,Data Analysis,75000,In-person
2023,Data Engineer,Data Engineering,181500,In-person
2023,Data Engineer,Data Engineering,112200,In-person
2023,Data Engineer,Data Engineering,49216,Remote
2023,Data Engineer,Data Engineering,43064,Remote
2023,Data Scientist,Data Science and Research,170500,Remote
2023,Data Scientist,Data Science and Research,118575,Remote
2023,Data Analyst,Data Analysis,130000,Remote
2023,Data Analyst,Data Analysis,100000,Remote
2022,Applied Machine Learning Scientist,Machine Learning and AI,97712,Remote
2023,AI Research Engineer,Data Science and Research,24940,Remote
2023,Analytics Engineer,Leadership and Management,172200,Remote
2023,Analytics Engineer,Leadership and Management,131200,Remote
2023,Data Analyst,Data Analysis,154500,Remote
2023,Data Analyst,Data Analysis,131325,Remote
2023,Data Manager,Leadership and Management,110400,In-person
2023,Data Manager,Leadership and Management,68000,In-person
2023,Data Manager,Leadership and Management,115500,In-person
2023,Data Manager,Leadership and Management,73500,In-person
2023,Business Intelligence Engineer,BI and Visualization,140000,In-person
2023,Business Intelligence Engineer,BI and Visualization,100000,In-person
2023,Data Analyst,Data Analysis,192000,Remote
2023,Data Analyst,Data Analysis,138240,Remote
2023,Machine Learning Engineer,Machine Learning and AI,225000,In-person
2023,Machine Learning Engineer,Machine Learning and AI,190000,In-person
2023,Data Scientist,Data Science and Research,207500,Remote
2023,Data Scientist,Data Science and Research,172900,Remote
2023,Data Scientist,Data Science and Research,135000,In-person
2023,Data Scientist,Data Science and Research,70000,In-person
2023,Data Scientist,Data Science and Research,254000,In-person
2023,Data Scientist,Data Science and Research,185000,In-person
2023,Data Engineer,Data Engineering,162000,Remote
2023,Data Engineer,Data Engineering,111000,Remote
2023,Data Scientist,Data Science and Research,225000,In-person
2023,Data Scientist,Data Science and Research,156400,In-person
2023,Data Modeler,Data Architecture and Modeling,147100,In-person
2023,Data Modeler,Data Architecture and Modeling,90700,In-person
2023,Data Analyst,Data Analysis,90000,In-person
2023,Data Analyst,Data Analysis,70000,In-person
2023,Data Engineer,Data Engineering,168400,In-person
2023,Data Engineer,Data Engineering,105200,In-person
2023,Research Engineer,Data Science and Research,237000,In-person
2023,Research Engineer,Data Science and Research,170112,In-person
2023,Data Scientist,Data Science and Research,25912,Remote
2023,Data Scientist,Data Science and Research,134960,Hybrid
2023,Business Intelligence Engineer,BI and Visualization,155000,Remote
2023,Business Intelligence Engineer,BI and Visualization,130000,Remote
2023,BI Developer,BI and Visualization,105000,In-person
2023,BI Developer,BI and Visualization,70000,In-person
2023,Data Analyst,Data Analysis,140000,In-person
2023,Data Analyst,Data Analysis,120000,In-person
2023,Data Integration Specialist,Data Management and Strategy,115000,In-person
2023,Data Integration Specialist,Data Management and Strategy,85000,In-person
2023,ML Engineer,Machine Learning and AI,260000,Remote
2023,ML Engineer,Machine Learning and AI,234000,Remote
2023,Machine Learning Engineer,Machine Learning and AI,204500,In-person
2023,Machine Learning Engineer,Machine Learning and AI,142200,In-person
2023,AI Architect,Machine Learning and AI,330000,In-person
2023,AI Architect,Machine Learning and AI,204000,In-person
2023,Data Engineer,Data Engineering,180000,Remote
2023,Data Engineer,Data Engineering,165000,Remote
2023,Data Scientist,Data Science and Research,185900,In-person
2023,Data Scientist,Data Science and Research,167310,In-person
2023,Data Analyst,Data Analysis,94600,In-person
2023,Data Analyst,Data Analysis,86000,In-person
2023,Data Scientist,Data Science and Research,297300,Remote
2023,Data Scientist,Data Science and Research,198200,Remote
2023,Data Analyst,Data Analysis,167000,In-person
2023,Data Analyst,Data Analysis,150000,In-person
2023,Data Engineer,Data Engineering,121000,Remote
2023,Data Engineer,Data Engineering,101570,Remote
2023,Data Strategist,Data Architecture and Modeling,175000,Remote
2023,Data Strategist,Data Architecture and Modeling,125000,Remote
2023,Machine Learning Scientist,Machine Learning and AI,325000,Remote
2023,Machine Learning Scientist,Machine Learning and AI,171000,Remote
2023,Data Science Consultant,Data Science and Research,180000,In-person
2023,Data Science Consultant,Data Science and Research,137000,In-person
2023,Data Scientist,Data Science and Research,265000,Remote
2023,Data Scientist,Data Science and Research,172000,Remote
2023,Machine Learning Engineer,Machine Learning and AI,155810,In-person
2023,Machine Learning Engineer,Machine Learning and AI,106720,In-person
2023,Data Scientist,Data Science and Research,160800,In-person
2023,Data Scientist,Data Science and Research,132200,In-person
2023,Data Analyst,Data Analysis,133000,Remote
2023,Data Analyst,Data Analysis,113000,Remote
2023,Data Analyst,Data Analysis,105000,In-person
2023,Data Analyst,Data Analysis,75000,In-person
2023,Data Scientist,Data Science and Research,208400,Remote
2023,Data Scientist,Data Science and Research,139000,Remote
2023,Data Engineer,Data Engineering,157550,In-person
2023,Data Engineer,Data Engineering,104650,In-person
2023,Data Engineer,Data Engineering,240500,In-person
2023,Data Engineer,Data Engineering,123700,In-person
2023,Data Engineer,Data Engineering,205600,In-person
2023,Data Engineer,Data Engineering,105700,In-person
2023,Business Data Analyst,Data Analysis,78000,Remote
2023,Data Engineer,Data Engineering,121000,In-person
2023,Data Engineer,Data Engineering,78000,In-person
2023,Data Scientist,Data Science and Research,85600,In-person
2023,Data Scientist,Data Science and Research,48915,In-person
2023,Data Analyst,Data Analysis,78000,In-person
2023,Data Analyst,Data Analysis,68000,In-person
2023,Research Analyst,Data Science and Research,53444,Remote
2023,Research Analyst,Data Science and Research,45150,Remote
2023,Data Scientist,Data Science and Research,275500,In-person
2023,Data Scientist,Data Science and Research,206000,In-person
2023,Business Intelligence Engineer,BI and Visualization,202800,In-person
2023,Business Intelligence Engineer,BI and Visualization,104300,In-person
2023,Research Analyst,Data Science and Research,56359,Remote
2023,Research Analyst,Data Science and Research,47799,Remote
2023,Data Engineer,Data Engineering,154000,In-person
2023,Data Engineer,Data Engineering,102000,In-person
2023,Data Modeler,Data Architecture and Modeling,140000,In-person
2023,Data Modeler,Data Architecture and Modeling,100000,In-person
2023,Data Strategist,Data Architecture and Modeling,91000,In-person
2023,Data Strategist,Data Architecture and Modeling,86000,In-person
2023,Data Scientist,Data Science and Research,228000,In-person
2023,Data Scientist,Data Science and Research,136000,In-person
2023,Data Analyst,Data Analysis,180000,Remote
2023,Data Analyst,Data Analysis,140000,Remote
2023,Data Scientist,Data Science and Research,175000,Remote
2023,Data Scientist,Data Science and Research,155000,Remote
2022,Research Engineer,Data Science and Research,16455,Remote
2023,Data Analyst,Data Analysis,207611,Remote
2023,Data Analyst,Data Analysis,127876,Remote
2023,Data Analyst,Data Analysis,111000,In-person
2023,Data Analyst,Data Analysis,104000,In-person
2023,BI Developer,BI and Visualization,128000,In-person
2023,BI Developer,BI and Visualization,81500,In-person
2023,Data Analyst,Data Analysis,61520,In-person
2023,Data Analyst,Data Analysis,43064,In-person
2023,Data Analyst,Data Analysis,97750,In-person
2023,Data Analyst,Data Analysis,75000,In-person
2023,Machine Learning Engineer,Machine Learning and AI,238000,In-person
2023,Machine Learning Engineer,Machine Learning and AI,176000,In-person
2023,Data Analyst,Data Analysis,192000,In-person
2023,Data Analyst,Data Analysis,92000,In-person
2023,Data Engineer,Data Engineering,195000,In-person
2023,Data Engineer,Data Engineering,125000,In-person
2023,Decision Scientist,Data Science and Research,204500,In-person
2023,Decision Scientist,Data Science and Research,142200,In-person
2023,Data Analyst,Data Analysis,132600,Remote
2023,Data Analyst,Data Analysis,81500,Remote
2023,Data Engineer,Data Engineering,202400,In-person
2023,Data Engineer,Data Engineering,147200,In-person
2023,Data Analyst,Data Analysis,175000,Remote
2023,Data Analyst,Data Analysis,135000,Remote
2023,Machine Learning Engineer,Machine Learning and AI,238000,In-person
2023,Machine Learning Engineer,Machine Learning and AI,176000,In-person
2023,Data Scientist,Data Science and Research,239000,In-person
2023,Data Scientist,Data Science and Research,136000,In-person
2023,Data Analyst,Data Analysis,54000,Remote
2023,Data Analyst,Data Analysis,36000,Remote
2023,Data Scientist,Data Science and Research,176000,Remote
2023,Data Scientist,Data Science and Research,118720,Remote
2023,Data Scientist,Data Science and Research,204500,In-person
2023,Data Scientist,Data Science and Research,138900,In-person
2023,Data Engineer,Data Engineering,140000,Remote
2023,Data Engineer,Data Engineering,95000,Remote
2023,Research Engineer,Data Science and Research,240000,In-person
